4,ARTG 171,ARTG 172,,4th (senior)
4,Upper-division elective 6,,,4th (senior)
Planner: Art & Design: Games + Playable Media B.A. Planner 2
1,ARTG 80I,Upper-division elective 1,ARTG 120*,
1,HAVC Elective,FILM 80V,Upper-division elective 2,
1,ART 80G,,,
1,,,,
2,ARTG 170,ARTG 171,ARTG 172,
2,Upper-division elective 3,Upper-division elective 5,Upper-division elective 6,
2022-23,Art B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Arts-Division/Art/Art-BA
Planner: Art B.A. Planner 1
1,ART 10E,ART 10D,ART 10F
1,,,
1,,,
2,ART 20 series,ART 20 series,ART 20 series
2,HAVC*,ART 80T,HAVC*
2,,,
3,UD studio,ART 190A,UD Studio
3,,UD studio,
3,,,
4,UD studio,UD studio,UD studio or ART 190B
4,UD studio,,
Planner: Art B.A. Planner 2
1,UD studio,ART 190A,UD studio
1,ART 10 Series†,ART 80T,HAVC*
1,,,
2,UD studio,UD studio,UD studio
2,HAVC*,UD studio,UD studio or ART 190B
2022-23,Biochemistry and Molecular Biology B.S.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Physical-and-Biological-Sciences-Division/Chemistry-and-Biochemistry/Biochemistry-and-Molecular-Biology-BS
Planner: Biochemistry and Molecular Biology B.S. Planner 1
1,"MATH 11A
            or MATH 19A","MATH 11B
            or MATH 19B",BIOL 20A
1,"CHEM 1B & CHEM 1M or  
CHEM 1A  or
CHEM 4A and CHEM 1M","CHEM 1A or
CHEM 1B & CHEM 1M or   
CHEM 4B & CHEM 1N","CHEM 1C & CHEM 1N
            (not required if CHEM 4 series completed)"
1,,,
2,BIOE 20B,PHYS 6A & PHYS 6L,PHYS 6B and PHYS 6M
2,CHEM 8A & CHEM 8L,CHEM 8B & CHEM 8M,BIOL 20L*
2,,,
3,BIOC 100A,BIOC 100B,BIOC 100C
3,PHYS 6C & PHYS 6N,BIOL 105,BIOL 101L**
3,,*MATH 22 (optional),
4,BIOL 110,BIOC 163A***,BIOC 163B***
Planner: Biochemistry and Molecular Biology B.S. Planner 2
1,BIOC 100A,BIOC 100B,BIOC 100C
1,PHYS 6A & PHYS 6L,BIOL 105,BIOL 101L
1,,PHYS 6B & PHYS 6M,PHYS 6C and PHYS 6N
2,BIOL 110,BIOC 163A,BIOC 163B
2,"STAT 5
            or STAT 7 & STAT 7L",BIOL 115,Senior Exit Lab
