Junior Year,CSE 20,AM 147,Upper-div elective,
Junior Year,AM 100,CSE16,STAT 131,
Junior Year,Lower-div elective,Lower-div elective,Upper-div elective,
Senior Year,AM 129,AM 212A,AM 170B,
Senior Year,AM 214,AM 170A,Upper-div elective,
Senior Year,,,,
M.S. Year,M.S. elective,AM 213A,AM 213B,
M.S. Year,Indep Study,Indep Study,AM 250,
2023-24,Applied Physics B.S.,https://catalog.ucsc.edu/en/current/general-catalog/academic-units/physical-and-biological-sciences-division/physics/applied-physics-bs
Applied Physics B.S.: Freshman Academic Plan
Plan 1: For students who place into MATH 19A or MATH 20A.
,Fall,Winter,Spring,Summer
Entering,,,,
Entering,,,,
Entering,,,,
1st (frosh),"MATH 19A
            or MATH 20A","MATH 19B
            or MATH 20B",MATH 23A,
1st (frosh),,CHEM 3A,PHYS 5B & PHYS 5M,
1st (frosh),,PHYS 5A & PHYS 5L*,,
2nd (soph),PHYS 5C & PHYS 5N,ASTR 119,PHYS 105,
2nd (soph),PHYS 5D,PHYS 116A,PHYS 116C,
2nd (soph),MATH 23B,,,
2nd (soph),,,,
3rd (junior),PHYS 102,PHYS 110B,PHYS 134,
3rd (junior),PHYS 110A,PHYS 112,Elective,
3rd (junior),PHYS 133,,,
4th (senior),Elective,PHYS 182**,Elective,
4th (senior),,,,
Applied Physics B.S.: Transfer Academic Plan One
,Fall,Winter,Spring,Summer
Entering,,,,
Entering,,,,
Entering,,,,
1st (junior),MATH 23B,PHYS 133,PHYS 105,
1st (junior),PHYS 102,PHYS 116A,PHYS 116C,
1st (junior),ASTR 119,Elective,,
2nd (senior),PHYS 110A,PHYS 110B,PHYS 134,
2nd (senior),CHEM 3A,PHYS 112,Elective,
Applied Physics B.S.: Transfer Academic Plan Two
,Fall,Winter,Spring,Summer
Entering,,,,
Entering,,,,
Entering,,,,
1st Year,MATH 23B,PHYS 102,PHYS 105,
1st Year,PHYS 5D,PHYS 133,Elective,
1st Year,ASTR 119,PHYS 116A,PHYS 116C,
2nd Year,PHYS 110A,PHYS 110B,Elective,
2nd Year,CHEM 3A,PHYS 112,PHYS 182*,
Plan 1: For students who place into MATH 19A or MATH 20A.
,Fall,Winter,Spring,Summer
Entering,,,,College 1A
Entering,,,,Summer Edge (optional)
Entering,,,,
1st (frosh),"MATH 19A
			or MATH 20A","MATH 19B
			or MATH 20B",MATH 23A,
1st (frosh),College 1,WRIT 1/WRIT 1E (if needed),PHYS 5B & PHYS 5M,
1st (frosh),,PHYS 5A & PHYS 5L*,,
2nd (soph),PHYS 5C & PHYS 5N,WRIT 2***,PHYS 105,
2nd (soph),PHYS 5D,CSE 20,PHYS 116C,
2nd (soph),MATH 23B,PHYS 116A,CSE 30,
2nd (soph),,,,
3rd (junior),PHYS 102,PHYS 112,STAT 131,
3rd (junior),PHYS 110A,,,
3rd (junior),,,,
4th (senior),PHYS 182**,PHYS 115,Elective,
4th (senior),Elective,Elective,,
Computational Physics Concentration: Transfer Academic Plan One
,Fall,Winter,Spring,Summer
Entering,,,,KRSG 1T
Entering,,,,Summer Edge (optional)
Entering,,,,
1st (junior),MATH 23B,CSE 20,PHYS 105,
1st (junior),PHYS 102,PHYS 116A,PHYS 116C,
1st (junior),,,CSE 30,
2nd (senior),PHYS 110A,PHYS 115,STAT 131,
2nd (senior),PHYS 182*,PHYS 112,Elective,
Computational Physics Concentration: Transfer Academic Plan Two
,Fall,Winter,Spring,Summer
Entering,,,,KRSG 1T
Entering,,,,Summer Edge (optional)
Entering,,,,
1st Year,MATH 23B,PHYS 102,PHYS 105,
1st Year,PHYS 5D,CSE 20,CSE 30,
