3,LING 50,LING 101,APLX elective
3,,,
4,Adv Language course,Adv Language course,APLX 190-capstone
4,APLX elective,APLX elective,Non-APLX elective
Planner: Applied Linguistics and Multilingualism B.A. Planner 2
1,APLX 80,APLX 101,LING 111 or LING 112
1,LING 50,LING 101,APLX elective
1,Language 4,Language 5,Language 6
2,Adv Language course,Adv Language course,APLX 190-capstone
2,APLX elective,APLX elective,Non-APLX elective
2020-21,Applied Mathematics B.S.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Baskin-School-of-Engineering/Applied-Mathematics/Applied-Mathematics-BS
Planner: Applied Mathematics B.S. Planner 1
1,MATH 19A,CSE 20,AM 20
1,AM 10,Lower div elective,CSE 16
1,,MATH 19B,
2,AM 30,,STAT 131
2,,Lower-div elective,
2,,,
3,AM 100,AM 170A,Upper-div elective
3,AM 114,AM 112,
3,Upper-div elective,,
4,AM 129,AM 147,AM 170B
Planner: Applied Mathematics B.S. Planner 2
1,MATH 2,MATH 3,MATH 19A
1,,Lower div elective,Lower div elective
1,,,
2,AM 10,AM 20,AM 30
2,MATH 19B,CSE 20,CSE 16
2,,,
3,AM 100,AM 112,
3,AM 114,STAT 131,Upper-div elective
3,Upper-div elective,,
4,AM 129,AM 147,AM 170B
2020-21,Applied Physics B.S.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Physical-and-Biological-Sciences-Division/Physics/Applied-Physics-BS
Planner: Applied Physics B.S. Planner 1
1,"MATH 19A
            or MATH 20A","MATH 19B
            or MATH 20B",MATH 23A
1,,,PHYS 5B & PHYS 5M
1,,PHYS 5A & PHYS 5L*,CHEM 1A or CHEM 1B
2,PHYS 5C & PHYS 5N,MATH 23B,PHYS 105
2,PHYS 5D,CSE 20,PHYS 116C
2,PHYS 116A,PHYS 116B,
3,PHYS 102,PHYS 110B,PHYS 134
3,PHYS 110A,PHYS 112,Elective
3,PHYS 133,,
4,Elective,PHYS 182**,Elective
4,,,
Planner: Applied Physics B.S. Planner 2
1,MATH 23B,CSE 20,PHYS 105
1,PHYS 102,PHYS 116B,PHYS 116C
1,PHYS 116A,Elective,PHYS 133
2,PHYS 110A,PHYS 110B,PHYS 134
2,CHEM 1A or CHEM 1B,PHYS 112,Elective
Planner: Applied Physics B.S. Planner 3
1,MATH 23B,PHYS 102,PHYS 105
1,PHYS 5D,CSE 20,PHYS 133
1,PHYS 116A,PHYS 116B,PHYS 116C
2,PHYS 110A,PHYS 110B,Elective
2,CHEM 1A or CHEM 1B,PHYS 112,PHYS 182*
2020-21,Art and Design: Games and Playable Media B.A.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Arts-Division/Art-and-Design-Games-and-Playable-Media/Art-and-Design-Games-and-Playable-Media-BA
Planner: Art and Design: Games and Playable Media B.A. Planner 1
1,ARTG 80I,CMPM 80K,CSE 20,
1,"^MATH 3, Precalculus",ARTG 80H,HAVC elective,
1,,,,
2,CSE 30,CMPM 35,CMPM 120*,
2,"Lower-division
            arts elective**",FILM 80V,ARTG 120*,
2,,,,
3,Media Creation elective 1,Media Creation elective 2,Media Creation elective 3,
3,GD/HCI elective 1,"GD/HCI
            elective 2",Media Creation elective 4,
3,,,,
4,ARTG 170,ARTG 171,ARTG 172,
4,,,,
Planner: Art and Design: Games and Playable Media B.A. Planner 2
1,"Lower-division
            arts elective**",ARTG 80H,CMPM 120*,
1,CMPM 35,CMPM 80K,ARTG 120*,
1,ARTG 80I,FILM 80V,Media Creation elective 1,
2,ARTG 170,ARTG 171,ARTG 172,
2,"GD & HCI
            elective 1","GD & HCI
            elective 2",Media Creation elective 3,
2020-21,Art B.A.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Arts-Division/Art/Art-BA
Planner: Art B.A. Planner 1
1,ART 10E,ART 10D,ART 10F
1,,,
1,,,
2,ART 20 series,ART 20 series,ART 20 series
2,HAVC*,ART 80T,HAVC*
2,,,
3,UD studio,ART 190A,UD Studio
3,,UD studio,
3,,,
4,UD studio,UD studio,UD studio or ART 190B
4,UD studio,,
Planner: Art B.A. Planner 2
1,UD studio,ART 190A,UD studio
1,ART 10_ †,ART 80T,HAVC*
1,,,
2,UD studio,UD studio,UD studio
2,HAVC*,UD studio,UD studio or ART 190B
2020-21,Biochemistry and Molecular Biology B.S.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Physical-and-Biological-Sciences-Division/Chemistry-and-Biochemistry/Biochemistry-and-Molecular-Biology-BS
Planner: Biochemistry and Molecular Biology B.S. Planner 1
1,"MATH 11A
            or MATH 19A","MATH 11B
            or MATH 19B",BIOL 20A
1,CHEM 1A,CHEM 1B & CHEM 1M,CHEM 1C & CHEM 1N
1,,,
2,BIOE 20B,*MATH 22 (optional),BIOL 105
2,CHEM 8A & CHEM 8L,CHEM 8B & CHEM 8M,"STAT 5
            or STAT 7 & STAT 7L"
2,,BIOL 20L,
3,BIOC 100A,BIOC 100B,BIOC 100C
3,BIOL 101L,PHYS 6A & PHYS 6L,PHYS 6B & PHYS 6M
3,,,
4,"BIOC 163A
            or *CHEM 163A","BIOC 163B
            or CHEM 163B",Senior exit lab
Planner: Biochemistry and Molecular Biology B.S. Planner 2
1,BIOC 100A,BIOC 100B,BIOC 100C
1,BIOL 101L,PHYS 6A & PHYS 6L,PHYS 6B & PHYS 6M
1,"STAT 5
            or STAT 7 & STAT 7L",,BIOL 105
2,"BIOC 163A
            or *CHEM 163A","BIOC 163B
            or CHEM 163B",Senior exit lab
2020-21,Biology B.A.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Physical-and-Biological-Sciences-Division/Ecology-and-Evolutionary-Biology/Biology-BA
Planner: Biology B.A. Planner 1
1,BIOE 20C,CHEM 1A,CHEM 1B
1,,,STAT 5 or STAT 7 & STAT 7L
1,,,
2,BIOL 20A,BIOE 20B,BIOL 105
2,,PHYS 1,
2,,,
3,BIOE 109,BIOE 107,Anatomy/Physiology
3,Biology elective*,,
3,,,
4,Biology elective*,Biology elective*,Biology elective*
4,,,
Planner: Biology B.A. Planner 2
3,BIOL 105,BIOE 107,Anatomy/Physiology
3,,BIOE 109,STAT 5 or STAT 7 & STAT 7L
3,,,
4,Biology elective*,Biology elective*,Biology elective*
4,Biology elective*,PHYS 1,
2020-21,Biology B.S.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Physical-and-Biological-Sciences-Division/Molecular-Cell-and-Developmental-Biology/Biology-BS
Planner: Biology B.S. Planner 1
1,CHEM 1A,CHEM 1B,CHEM 1C & CHEM 1N
1,MATH 11A,MATH 11B,BIOL 20A
1,,,
2,BIOE 20B & BIOL 20L,BIOL 100,BIOL 101 & BIOL 101L
2,,CHEM 8B,
2,CHEM 8A & CHEM 8L,,BIOL 105
3,BIOL 110,UD elective,UD elective
3,BIOE 20C,BIOE 107,BIOE 109
3,,,
4,PHYS 6A & PHYS 6L,"STAT 5 OR
STAT 7 & STAT 7L",Laboratory
4,UD elective,PHYS 6B OR PHYS 6C,
Planner: Biology B.S. Planner 2
3,BIOL 105,BIOL 100,BIOL 101 & BIOL 101L
3,PHYS 6A & PHYS 6L,PHYS 6B or PHYS 6C,BIOE 107
3,,,
4,BIOL 110,UD elective,UD elective
4,BIOE 109,Laboratory,UD elective
2020-21,Biomolecular Engineering and Bioinformatics B.S.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Baskin-School-of-Engineering/Biomolecular-Engineering/Biomolecular-Engineering-and-Bioinformatics-BS
Planner: Biomolecular Engineering and Bioinformatics B.S. Planner 1
1,CHEM 1A,MATH 19B,AM 10
1,MATH 19A,CHEM 1B & CHEM 1M,CHEM 1C & CHEM 1N
1,,,BME 21L
2,BME 22L,BME 23L,BME 105
2,CHEM 8A,CHEM 8B,PHYS 5B & PHYS 5M
2,BIOL 20A,PHYS 5A & PHYS 5L,
2,,AM 20,
3,BIOC 100A,BIOC 100B,AM 115
3,BME 110,BME 160,BME 163
3,BME 185,STAT 131,
4,BME 129A,BME 129B,BME 129C
Planner: Biomolecular Engineering and Bioinformatics B.S. Planner 2
1,CHEM 1A,MATH 19B,BIOL 20A
1,MATH 19A,CHEM 1B & CHEM 1M,CHEM 1C & CHEM 1N
1,,,BME 21L
2,BME 22L,BME 23L,BME 105
2,BIOC 100A,BIOC 100B,PHYS 5B & PHYS 5M
2,BME 80G,PHYS 5A & PHYS 5L,
3,BME 185,AM 20,
3,BME 110,BME 160,BME 163
3,AM 10,,
4,BME 129A,BME 129B,BME 129C
4,STAT 131,STAT 132,Elective
Planner: Biomolecular Engineering and Bioinformatics B.S. Planner 3
1,BIOC 100A,BIOC 100B,BME 105
1,BME 80G,BME 110,BME 160
